date,approximate_time,total_num_transports,num_unique_transports,night_travel_ratio,hours_per_transit,activity_time,is_activity,is_tour,activity_count,novelty_flag,primary_transport_0,primary_transport_2,primary_transport_3,primary_transport_4,activity_type_0,activity_type_1,activity_type_2,activity_type_3,activity_type_4,activity_type_5
2024-05-13,0.862041342736505,1.0,1.0,0.9523809523809523,0.40384615384615385,0.42831734103139474,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.42831734103139474,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-05-16,0.0,0.0,0.0,0.0,0.0,0.6274735630753033,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.42831734103139474,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-05-18,0.0,0.0,0.0,0.0,0.0,0.6274735630753033,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-05-20,0.489301084236452,0.5,0.5,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,0.489301084236452,1.0,0.5,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,0.846351820920547,0.5,0.5,1.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.5680609671737329,1.0,0.5,0.0,0.15384615384615385,0.8566346820627895,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-05-25,0.32341042505550693,1.0,0.5,0.0,0.057692307692307696,0.8566346820627895,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-05-27,0.686820903599663,0.5,0.5,0.0,0.46153846153846156,0.8566346820627895,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.8566346820627895,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.8566346820627895,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.8566346820627895,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-05-31,0.0,0.0,0.0,0.0,0.0,0.8566346820627895,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
